./ ADD NAME=LSN001
687 030C IDE GOLD 8512 000343    771111 850605 246525654     00200
410 054C MXE GILT 8512 004056    731111 850605 431165645     00200
678 124C RXE SILV 8512 000027    781111 850605 811334454     02000
678 322C RXE SILV 8512 000027    781111 850605 133462456     00200
678 323C RXE SILV 8512 000027    781111 850605 673535673     00200
678 567C RXE SILV 8512 000027    781111 850605 936008956     00200
678 701C RXE SILV 8512 000027    781111 850605 873457894     00200
./ ADD NAME=LSN002
687 030C IDE GOLD 8512 000343    771111 850605 246525654     00200
410 054C MXE GILT 8512 004056    731111 850605 431165645     00200
678 124C RXE SILV 8512 000027    781111 850605 811334454     02000
678 322C RXE SILV 8512 000027    781111 850605 133462456     00200
678 323C RXE SILV 8512 000027    781111 850605 673535673     00200
678 567C RXE SILV 8512 000027    781111 850605 936008956     00200
678 701C RXE SILV 8512 000027    781111 850605 873457894     00200
./ ADD NAME=LSN003
687 921231   GOLD 9212 000343GOLD CONTRACT        12  00234
410 921231   GILT 9303 004026LONG GILT CONTRACT   12  13409
678 921231   SILV 9212 000027SILVER CONTRACT      12  34978
678 921231   SILV 9212 000027SILVER CONTRACT      12  95878
678 921231   SILV 9212 000027SILVER CONTRACT      12  66563
./ ADD NAME=LSN004A
687 030C IDE GOLD 8512 000343    771111 850605 246525 54 XX  01200
410 054C MXE GILT 8512 004056    731111 850605 431165 45 XX  03300
678 124C RXE SILV 8512 000027    781111 850605 811334 54 XX  03410
678 322C RXE SILV 8512 000027    781111 850605 133462 56 XX  04300
678 323C RXE SILV 8512 000027    781111 850605 673535 73 XX  04900
678 567C RXE SILV 8512 000027    781111 850605 936008 56 XX  00500
678 701C RXE SILV 8512 000027    781111 850605 873457 94 XX  00600
./ ADD NAME=LSN004B
124                          000026    000255
322                          002786    000006
701                          999999    123456
./ ADD NAME=LSN005A
687 030C IDE GOLD 8512 000343    771111 850605 246525 54 XX  01200
410 054C MXE GILT 8512 004056    731111 850605 431165 45 XX  03300
678 124C RXE SILV 8512 000027    781111 850605 811334 54 XX  03410
678 322C RXE SILV 8512 000027    781111 850605 133462 56 XX  04300
678 323C RXE SILV 8512 000027    781111 850605 673535 73 XX  04900
678 567C RXE SILV 8512 000027    781111 850605 936008 56 XX  00500
678 701C RXE SILV 8512 000027    781111 850605 873457 94 XX  00600
./ ADD NAME=LSN005B
124                          000026    000255
322                          002786    000006
701                          999999    123456
./ ADD NAME=LSN006
687 030C NEWYORK  8512 000343    771111 850605 246525654     00200
410 054C DETROIT  8512 004056    731111 850605 431165645     00200
678 124C CHICAGO  8512 000027    781111 850605 811334454     02000
678 322C LONDON   8512 000027    781111 850605 133462456     00200
678 323C MIAMI    8512 000027    781111 850605 673535673     00200
678 567C NEWYORK  8512 000027    781111 850605 936008956     00200
678 701C CHICAGO  8512 000027    781111 850605 873457894     00200


